label,nodeType,order,path,price,description,link,imageLink,Zomato
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Kande Pohe,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1Ss9I_NlNi5BlNatGXZqim7rN8-ntWLRy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KandePohe.jpg,
Batate Pohe,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1jqLF699TKjhHi0NZDZcyTeoQdtP5xcUg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BatatePohe.jpg,
Tareey Pohe,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",63,,https://drive.google.com/file/d/1WhJjGgBcaMrivHcOXZkSQqqAe1twKUde/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/TareeyPohe.jpg,
Batata Vada,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",42,,https://drive.google.com/file/d/1BLycPnIXSUHlBCFLkej9EIOiBzdi5Lp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BatataVada.jpg,
Batata Vada Plate,ProductUnit,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Batata Vada,",42,,https://drive.google.com/file/d/1qMJvdlrkJcHmXaqbNmdNjNLhVnwN2xg0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BatataVadaPlate.jpg,
Vada Pav,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",27,,https://drive.google.com/file/d/1y8Uq1xvmcEsnDueHLu64-gdUDukGsU8X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaPav.jpg,
Vada Pav Single,ProductUnit,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Vada Pav,",27,,https://drive.google.com/file/d/13RzDOnD6kT5Itql1IgEOFgwQo3jNzxRd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/VadaPavSingle.jpg,
Misal,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1RyjwO6FBYXBixcSbWGrcYRZNgpk5s3i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Misal.jpg,
Misal Pav,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg,
Dahi Misal Pav,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",110,,https://drive.google.com/file/d/1744Cl-Qat5tKsrsWV2XcFuDs3iBo-4YU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiMisalPav.jpg,
Usal,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",42,,https://drive.google.com/file/d/1bf8Ml2sqE0rwFFHsK9ok-UI5BzL7DF2T/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/Usal.jpg,
Usal Pav,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1eHVPypTzxrToSJ2DoaYuohtfSaItW3ZJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/UsalPav.jpg,
Vada Usal,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1kiI9mJ7I3SaxqJtUmI68v50EVYA4yPrW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/VadaUsal.jpg,
Fakt Tareey,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",42,,,,
Alu Vadi,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",105,,https://drive.google.com/file/d/1gq47AY6KjhyQQRfOLO3uFJi91RtLrflt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AluVadi1.jpg,
Alu Vadi Plate,ProductUnit,19,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Alu Vadi,",105,,https://drive.google.com/file/d/1NCNrCYirAMV-BY-YUlBvFkE8Un5byJRA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AluVadiPlate.jpg,
Alu Vadi,ProductType,20,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1gq47AY6KjhyQQRfOLO3uFJi91RtLrflt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AluVadi1.jpg,
Alu Vadi Aadhai Plate,ProductUnit,21,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Alu Vadi,",53,,https://drive.google.com/file/d/1yan4prf9l2HLhW48qoUlUmx4hBZKbOds/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/AluVadiAadhaiPlate.jpg,
Kotimbir Vadi,ProductType,22,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",105,,https://drive.google.com/file/d/1c7_BJi8loxt_0idOrVpgMtptiGT824JK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KotimbirVadi.jpg,
Kotimbir Vadi Plate,ProductUnit,23,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Kotimbir Vadi,",105,,https://drive.google.com/file/d/1VW2bsuYZvsL_YuX0Jv-oyLbJO6-JLW3j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KotimbirVadiPlate.jpg,
Kotimbir Vadi,ProductType,24,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1c7_BJi8loxt_0idOrVpgMtptiGT824JK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KotimbirVadi.jpg,
Kotimbir Vadi Adha Plate,ProductUnit,25,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Kotimbir Vadi,",53,,https://drive.google.com/file/d/1wq0i0girFua77DiWf4jT4PiDKK6jhwB-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KotimbirVadiAdhaPlate.jpg,
Batata Bhaji,ProductType,26,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1935SwsLYpyW84e368e80aHNU_P-EUVFC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BatataBhaji.jpg,
Batata Bhaji Plate,ProductUnit,27,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Batata Bhaji,",53,,https://drive.google.com/file/d/1hr5yHZtdJxgEx7IaiyS_soV7IbkZRoAa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BatataBhajiPlate.jpg,
Kanda Bhaji,ProductType,28,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1bf5MHHTbaacB8VIZ1MJgddlOepaGQT0W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KandaBhaji.jpg,
Kanda Bhaji Plate,ProductUnit,29,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Kanda Bhaji,",53,,https://drive.google.com/file/d/1LeJfAwd8BftxIXsHXcwI6gFrw43H97cm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/KandaBhajiPlate.jpg,
Puri Bhaji,ProductType,30,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",68,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,
Ghavan Plate,ProductType,31,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",79,,https://drive.google.com/file/d/1UrR3-QakCUsWD4xOhwzPdhCfRIZYmnTX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/GhavanPlate.jpg,
Ghavan Plate 2 Pcs,ProductUnit,32,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Ghavan Plate,",79,,https://drive.google.com/file/d/1gEOjA8bgx-ocV_vhUG1_yWHRJhQJQzy_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/GhavanPlate2Pcs.jpg,
Shegav Kachori,ProductType,33,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",32,,https://drive.google.com/file/d/1mVCVcal9D9bj6eX1pUQ0gRDcc6M_CSTw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShegavKachori.jpg,
Shegav Kachori 1 Pcs,ProductUnit,34,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Shegav Kachori,",32,,https://drive.google.com/file/d/1qeGQAoNZfAp2l9DvKDHGkos5ba5gxQyI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShegavKachori1Pcs.jpg,
Sheera Sajuk Tupacha,ProductType,35,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",63,,https://drive.google.com/file/d/1Bf3l3nAKZxphU6HrxmBM99GNBR5CKD8T/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/SheeraSajukTupacha.jpg,
Sheera Puri,ProductType,36,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",95,,https://drive.google.com/file/d/1TVf7BxnYNkJJ0BP6jfh0HNLaRwXzfeV3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/SheeraPuri.jpg,
Chha Chapati Tupatli,ProductType,37,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,,,
Malida God,ProductType,38,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,,,
Malida Fodni,ProductType,39,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",42,,,,
Fodnicha Bhat,ProductType,40,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1FEzoISx5pKGzKVfMfmtR2bQ8S6f7KxrH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/FodnichaBhat.jpg,
Thali Pith,ProductType,41,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",100,,https://drive.google.com/file/d/1ntv40GoJ65OPMffyJNOrAQHCMgn_Uix6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/ThaliPith.jpg,
Thali Pith 2 Pcs,ProductUnit,42,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Thali Pith,",100,,https://drive.google.com/file/d/1AbtaOHbuIs7mVGmlDgFxEpYQzhT8ChX0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ThaliPith2Pcs.jpeg,
Shengdana Thecha,ProductType,43,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",21,,https://drive.google.com/file/d/1sJQMEvaevW_DHFVHCcQsuK-3tqHAA4KU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShengdanaThecha.jpg,
Shengdana Solapuri Chutney,ProductType,44,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",21,,https://drive.google.com/file/d/1WB_tbQOnoX8HOY789IXGOAjQg1FeKvEf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShengdanaSolapuriChutney.jpg,
Shengdana Upwasachi Amti,ProductType,45,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/16pYenfXfr6_FU1xxLenRG4Zo9WVr4Jsb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShengdanaUpwasachiAmti.jpg,
Shengdanachi Usal,ProductType,46,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",74,,,,
Zheerak,ProductType,47,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,,,
Khalgut,ProductType,48,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,,,
Shengdana Puran Poli,ProductType,49,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",53,,https://drive.google.com/file/d/1rffCCaHF3hT1K5LuMYyix-L62obSWoG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShengdanaPuranPoli.jpg,
Shengdana Puran Poli 1 Pcs,ProductUnit,50,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Shengdana Puran Poli,",53,,https://drive.google.com/file/d/1Ekt-16JiIjZp1vwhe2W26mHWceFvSyWQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShengdanaPuranPoli1Pcs.jpg,
Shabudana Khichdi,ProductType,51,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",63,,https://drive.google.com/file/d/1zc5ozHe7HImrrNsI95c0Bge4BGf1PS-v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shabudana-Khichdi.jpg,
Shabudana Vada,ProductType,52,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1w9jQIgXV_TuPz5p-eh_N91XiyWCYbu6x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShabudanaVada.jpg,
Bhagar Khichdi,ProductType,53,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1zlZuV6PncOlAX2rlzAeSzwvn1bJRYkHM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BhagarKhichdi.jpg,
Rajgira Puri Ani Batata Bhazi,ProductType,54,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,,,
Bhagar Bhat Ani Shengdanachi Amti,ProductType,55,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",21,,,,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,,
Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",21,,https://drive.google.com/file/d/1fd2gFK13kA_Nc4iEqwyT__x9hmcV5BvG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tea.jpg,
Pudina Tea,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",32,,https://drive.google.com/file/d/10s_aAmjptwG_HlhKjLNil_6mfZGnKxD_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/PudinaTea.jpeg,
Ukhala,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",32,,,,
Nescoffee,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",42,,,,
Nimbu Pani,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",21,,https://drive.google.com/file/d/1QJKpS7ucbUHtKXhwddiTBBN0jGgq4NIm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery20220203/NimbuPani.jpg,
Taak,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",21,,https://drive.google.com/file/d/11-2zpTeKabs34wnPQx2_9yNSuNZElDbN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Taak.jpg,
Solkadi,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",32,,https://drive.google.com/file/d/1pZ35aGNSW3dp7TV2_-WcUNG4D3b6raoN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Solkadi.jpg,
Mineral Water Sadha,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",21,,https://drive.google.com/file/d/1ZFzsRe6w6uuAQZXlWLCLVtb8jWh7Kkfi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/MineralWaterSadha.jpg,
Mineral Water Cool,ProductType,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",26,,,,
Dahi,ProductType,13,"Inventory,Food,Restaurant,Beverages,Vegeterian,",21,,https://drive.google.com/file/d/1cDaTlkyLkA1iMlI4hkZciLjKGnzykteF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Dahi.jpg,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Valache Birad,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,,,120
Matki Usal Rassa,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",116,,https://drive.google.com/file/d/1usj3bHmIB0HFs-G89pB3cJq3SeOjgdyr/view?usp=sharing,,100
Matki Sukka,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,https://drive.google.com/file/d/1wMJ5Ok1H6WpyjUlNsrfcfubmS9aQclZw/view?usp=sharing,,120
Kale Vatane Usal,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,https://drive.google.com/file/d/11WgJMCvJWf5rP9IUDDZM_tvyuQnOdZzL/view?usp=sharing,,110
Hulgyache Madage,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",84,,,,30
Akkha Masur,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,https://drive.google.com/file/d/1TpY-4iYzMqXD8lNGiKBdPfs7gWSYrU5C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/AkkhaMasur.jpg,130
Pitla,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",95,,https://drive.google.com/file/d/1mPK1r78Wau5ACrhEFouKnqscoIsynmGe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Pitla.jpg,65
Zunka,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",95,,https://drive.google.com/file/d/1AYcrO9girBaXzFRaYdn10dOngFOoUbe3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/Zunka.jpg,70
Patvadi,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",152,,https://drive.google.com/file/d/1FU-MQzKheq9joI4Amlkl7y-BT3b1M_1t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/Patvadi.jpeg,110
Chunvadi,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",152,,,,150
Sandage Sukka,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,,,,120
Sandage Rassa,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,https://drive.google.com/file/d/1QcaZrJHjl1KfEdb2vCcw4uumOpDf8p0N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/SandageRassa.jpg,90
Shevachi Sukhi Bhaji,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",84,,,,
Shevachi Rassa Bhaji,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",105,,https://drive.google.com/file/d/1wDh-JfmNCiztw1H0IJnxD8LzSkix8BXi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ShevachiRassaBhaji.jpg,
Bharli Vangi,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,https://drive.google.com/file/d/1lUVzZAcu6yr5kHeHLY3nRqmAUCyRGqVM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BharliVangi.jpg,130
Vangyache Bharit,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",126,,,,120
Vangi Batata Rassa,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",105,,https://drive.google.com/file/d/1bGRDyEGqHc-eJRXESJ5UOdiMGRMzl-_k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/VangiBatataRassa.jpg,80
Batata Sukka,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",84,,https://drive.google.com/file/d/1wzJr80f5LNM0RRAL0lLeOJ3K-EXVdtFM/view?usp=sharing,,90
Batata Rassa,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",105,,https://drive.google.com/file/d/1h8po7faRPEQYdSHL6CQsBZkBMIXV-mGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/BatataRassa.jpg,80
Veg Kolhapuri,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",158,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,200
Palak Paneer,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",158,,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,130
