label,nodeType,order,path,price,description,Ingredients,link,imageLink,Swiggy 
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,,
Veg Supreme Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg , pizza base  teaspoon lemon juice  teaspoon garam masala powder / teaspoon chaat masala powder  / teaspoon minced garlic  teaspoon virgin olive oil For Garnishing  cup grated cheese- goat cheese  tablespoon chopped black olives  cup pizza sauce For Toppings / cup chopped onion / cup chopped carrot / cup sliced capsicum ( green pepper) / cup chopped tomato,https://drive.google.com/file/d/15J6mb-ZLaBTTfl8tenP8KxM-ErzBFO75/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegSupremePizza.png,
Veg Maxican Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,"Pizza base-,Tomato- (cut into thin slices),Capsicum-(cut into thin slices),Carrot-(cut into thin slices),Pizza sauce- ,Chilli flakes-/ ,Mozzarella cheese Grated-,Oregano-/ ,
Black pepper powder-/ ",https://drive.google.com/file/d/1-6jltmBiwnGagyFScLPxqHuaI_Xl1p0l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegMaxicanPizza.jpg,
Veg Exotica Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,,https://drive.google.com/file/d/1jxCZmeV8_t-sxR1g7MWHvkLhnNheoDXn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegExoticaPizza.png,
Veg Tandoori Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,Exotic Veg ,"Pizza base ,Mozeralla cheese  cup,Salt  teaspoon,
Red chilly powder / teaspoon,Chilly flakes  teaspoon,Tomato ,
Capsicum ,Tandoori masala  teaspoon",https://drive.google.com/file/d/10JJASCn5dRJA7TbIHYp8JiZrya2zTa8h/view?usp=sharing,,
Extra Topping,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",45,Exotic Veg ,,,,
Crc Favourite Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,Signature Veg ,,https://drive.google.com/file/d/1YTZIxbW3a1579WM2yHGpYhRVD5SWqjGC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CrcFavouritePizza.jpg,
Veg Spicy Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,Signature Veg ,,https://drive.google.com/file/d/1Zd5Q4y5Qh1Qy48t-iA3BVSRUnnBiaUex/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegSpicyPizza.jpg,
Double Cheese Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ," pizza base,  pizza sauce,  chopped onion,
  chopped capsicum,  chopped green chili,
  boiled sweet corn, cup mozzarella cheese,
/ cup processed cheese,  oregano,  chili flakes,
  salt",https://drive.google.com/file/d/1GDbl-RFiNDshRr7wbWbUnUz7x-N67Utt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DoubleCheesePizza.jpg,
Farmer Choice Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ,,https://drive.google.com/file/d/1yTCBjCibVzH-JgUfFIuujk8zsk3X-D2h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/FarmerChoicePizza.jp.jpg,
Chilly Garlic Pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,Classic Veg ,,https://drive.google.com/file/d/14TzZE5mzneBpyQ2Hd-r2FljrfQJguOfJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerGrillSandwich.jpg,
Sandwich,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Sandwich,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Sandwich,",,,,,,
Veg Grill Sandwich,ProductType,4,"Inventory,Food,Cafe,Sandwich,Vegeterian,",60,," bread slice, boiled potato,/ red chilli powder,
/ cup aloo bhujiya sev,/ salt",https://drive.google.com/file/d/1Z_7tWSGBha_rd-j_GxKxVMvpxQ98tUK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Grill-Sandwich.jpg,75
Cheese Grill Sandwich,ProductType,5,"Inventory,Food,Cafe,Sandwich,Vegeterian,",70,,"ounce of grated cheese, medium carrot finely grated,
 mayonnaise, grated onion, butter,
 pepper sauce, mustard, pack White floured bread sliced",https://drive.google.com/file/d/114V2AWJXeQosuSrLPbnn-7qNzQrDG8q_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseGrillSandwich.jpg,99
Paneer Grill Sandwich,ProductType,6,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,,Paneer  pack /  Chilli powder /  Pepper powder /  jeers powder /  Cinnamon powder   Honey   oil for mixing Masala   Oil for frying  salt  Chilli flakes   finely chopped Coriander leaves,https://drive.google.com/file/d/1TMfttEFTe1DgW-gxITtG4N9BGhiKpE24/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerGrillSandwich.jpg,
Potato Pop Grill sandwich,ProductType,7,"Inventory,Food,Cafe,Sandwich,Vegeterian,",,,,https://drive.google.com/file/d/1ZizBAUqnwXK3avJbkZcfcjKenw_cCw7l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PotatoPopGrillsandwich.jpg.jpg,
Cheese Corn Grill Sandwich,ProductType,8,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,," bread slice,  butter,  oil,  ginger garlic paste,
 cup chopped palak, cup boiled sweet corn kernal,
 cheese cube,  salt,  black paper powder,
  chili flakes",https://drive.google.com/file/d/15aMRxp9xfp05Jy_u_WPSSK8_cSVttZLZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseCornGrillSandwich.jpg,
Jam Sandwich,ProductType,9,"Inventory,Food,Cafe,Sandwich,Vegeterian,",,,,https://drive.google.com/file/d/1aRKtMrT3Um6w8E7JGSjEus4C_KNO5T7t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/JamSandwich.jpg,
Chocolate Sandwich,ProductType,10,"Inventory,Food,Cafe,Sandwich,Vegeterian,",80,,"Bread slice ,Chocolate spread ,
Oil  (if required )",https://drive.google.com/file/d/1Eg5xgm79V5-0vaW7QEk45JaQ6CPTSpRh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateSandwich.jpg,
Grill Paneer Sezwan sandwich,ProductType,11,"Inventory,Food,Cafe,Sandwich,Vegeterian,",90,," slices Bread,  cottage cheese/paneer,
 cup red,yellow,green capsicum, onions, small tomato,
 green chilli,  black pepper,  oil,
  oregano/mixed herbs,  red chilli flakes",https://drive.google.com/file/d/1tDW5VASPr10_4aB_2A5m_ymFx97eG4GA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/GrillPaneerSezwansandwich.jpg,
Pasta,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Pasta.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pasta,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pasta,",,,,,,
Tomato Penne Pasta,ProductType,4,"Inventory,Food,Cafe,Pasta,Vegeterian,",110,,"pasta boil strain n keep aside  cups,onion  nos,
red yellow n green pepper cut lenghtwise  nos,carrot  nos,
milk  cups,maida  ,butter  ,black pepper  ,
chat masala  ,chilli flakes (optional)  ",https://drive.google.com/file/d/1IRE32FXn1JdHCr4h51vGox0uDe9x8ub8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoPennePasta.jpg,
White Penne Pasta,ProductType,5,"Inventory,Food,Cafe,Pasta,Vegeterian,",120,,"Spiral pasta  ,Apf(maida)  ,Milk  ml,
Cheese cube  nos,Salt  ,Black pepper powder / ,
Oregeno / ,Carrot, capsicum n green pea fine chop n blanched / cups,Chilli flake / ",https://drive.google.com/file/d/1oXbESSUTkbeIpsD9pI1ya0D3W3ugqY3d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/WhitePennePasta.jpg,
Burger,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Burger,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Burger,",,,,,,
Aloo Tikki Burger,ProductType,4,"Inventory,Food,Cafe,Burger,Vegeterian,",70,," boiled and smashed potato, tablespoon of green peas boiled,
 tea spoon of turmeric,/ cup breadcrumbs,/  chilli powder,
  vegetable oil for frying,/  Cumin powder,
/  of black pepper,/  salt,/  ginger garlic paste",https://drive.google.com/file/d/1PEIcTAasovQPy8im_wFljuWMW_T-Ioz5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikkiBurger.jpg,
Mix Veg Burger,ProductType,5,"Inventory,Food,Cafe,Burger,Vegeterian,",80,,,https://drive.google.com/file/d/1n8anAHWi3u8gZ2g65KppR8IcjZDgKtoa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MixVegBurger.jpg,
Cheese Burger,ProductType,6,"Inventory,Food,Cafe,Burger,Vegeterian,",90,,,https://drive.google.com/file/d/17tjEKk0Js0ihvdynVmKov5ZKWUmFvjAW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseBurger.jpg,
Snacks,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Snacks,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Snacks,",,,,,,
French Fries,ProductType,4,"Inventory,Food,Cafe,Snacks,Vegeterian,",80,,"Potatoes-  nos,Oil- cup,Salt as per need-  ",https://drive.google.com/file/d/1OkJBwMbikkeQriYIH41haxxTopeFdL7y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FrenchFries.jpg,
Masala Fries,ProductType,5,"Inventory,Food,Cafe,Snacks,Vegeterian,",90,,,https://drive.google.com/file/d/1sbGFfcbLEpWBEussjAiV6sD4AGax8O8I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaFries.jpg,
Smiley,ProductType,6,"Inventory,Food,Cafe,Snacks,Vegeterian,",,,,https://drive.google.com/file/d/1O8QEhtbzzEr9uMfmb3ibuCXFwzRfHXXo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Chilli Garlic Potato Pop,ProductType,7,"Inventory,Food,Cafe,Snacks,Vegeterian,",,,"Oil - ,Garlic mince  ,Lemon juice  ,
Kashmiri red chilli powder  ,Salt  ,
Asafoetida / ,Spring onions to garnish  cups,
Udupi Ruchi Chat masala  ",https://drive.google.com/file/d/1d7XDDMK1ua01twCXIScjJ5G8y-9MPpP1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChilliGarlicPotatoPop.jpg,
Garlic Bread,ProductType,8,"Inventory,Food,Cafe,Snacks,Vegeterian,",70,,"Bread slice ,Chop garlic ,Butter ,Dry oregano /,
Steamed sweetcorn /cup,Pepper powder /,
Salt /,Grated mozerella cheese / cup,
Tomato ketchup ",https://drive.google.com/file/d/1OXT30UdnaqeMo-dv1NbdWLEnp2mVwRQA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GarlicBread.jpg,
Cheese Garlic Bread,ProductType,9,"Inventory,Food,Cafe,Snacks,Vegeterian,",90,," pis Bread, cube cheez prossed cheese,
 small bowl mozrela cheese, TBS oregano,
 TBS chili flakes, TBS garlic butter",https://drive.google.com/file/d/1yUhtKoZxXnW4RAQZaLxq-d2yz5OeSvht/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseGarlicBread.jpg,
Beverages,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Beverages,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Beverages,",,,,,,
Cappuccino Coffee,ProductType,4,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"  Coffee Powder,-  Sugar,  Cappuccino Powder,
/ cup Milk,/ cup Water,  Cocoa Powder,
Heart Shape Stencil",https://drive.google.com/file/d/1Dr_Q_pshECgy6K2Op9I8aT5VAGT6qU2J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CappuccinoCoffee.jpg,
Hot Coffee,ProductType,5,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1cfiDDRvwcGudhk_KsazZCi2zso-l8t3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotCoffee.jpg,
Cafe Latte Coffee,ProductType,6,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1iJuO_O39wV2OGA7oJyNpN4B93rbh6UfP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CaféLatteCoffee.jpg,
Cafe Frappe Cold Coffee,ProductType,7,"Inventory,Food,Cafe,Beverages,Vegeterian,",,," cup milk,  coffee powder,  powder sugar,
  chocolate syrup",https://drive.google.com/file/d/1Ji8jRxUafFLdWDiPsUZVMvQLr-UNejg6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CaféFrappeColdCoffee.jpg,
Black Forest Coffee,ProductType,8,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1A5e0t145R_rRZ0Rd1x6PbO53o_mqDedc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BlackForestCoffee.jpg,
Tropical Iceberg Coffee,ProductType,9,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1m05uqFPN-XBBHDLyVxG24UKXjsKXOA9s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/TropicalIcebergCoffee.jpg,
Cad-B Shake,ProductType,10,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/17FPaChoc7-GRQxMQk2h-JK0iefifutad/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CadBShake.jpg,
Cad-M Shake,ProductType,11,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1-1eewxP07p_ee4C2HV8UjmBuyUzocmDf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CadMShake.jpg,
Vanila Shake,ProductType,12,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1e6ZS76U7zkzuw92Ve14hlzlrphXRjKoK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VanilaShake.jpg,
Chocolate Shake,ProductType,13,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"chilled Milk  glass,Cocoa powder ,Hot chocolate powder ,
Sugar ,Chocochips -",https://drive.google.com/file/d/1vd3hiiVRRj69WGpVL156_sxW22aFsHkp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateShake.jpg,
Oreo Shake,ProductType,14,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"hocolate syrup  ,OREO Cookies, divided  nos,
milk  / cups,Vanilla Ice Cream, softened  nos",https://drive.google.com/file/d/1e_eFRRnkBekms2_ce6lXpp43RDyRtZQu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OreoShake.jpg,
Mango Shake,ProductType,15,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"big size ripe mango ( preferably alphanso or badami), peeled and cut in chunks  nos,milk( chilled)  litre,Sugar(depends on sweeetness of mango)  ",https://drive.google.com/file/d/1GuSXG_n0eiI0Wv_5z5lA4V93edCGPgOl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoShake.jpg,
Black Current Shake,ProductType,16,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1RmLzsZnn0PBdb9znAUeYzio_c8jsGnAB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BlackCurrentShake.jpg,
Strawberry Shake,ProductType,17,"Inventory,Food,Cafe,Beverages,Vegeterian,",,," cup Strawberry, cup milk,  sugar",https://drive.google.com/file/d/1Fdnyc6aGR4CFaJ03M1rjQ0pqahi_lzy3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StrawberryShake.jpg,
Pineapple Shake,ProductType,18,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,,https://drive.google.com/file/d/1St8ZJbOVaVCb-AJtu0P_x9gDwI2adoKb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PineappleShake.jpg,
Orange Shake,ProductType,19,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"Milk  ml,sugar  ,cream  cups,orange essence  ,
orange juice / cups,custard powder  ,Dry fruits chopped  ",https://drive.google.com/file/d/1DWsfixVtM2ibXPs15J-w2azDudVwk0nA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OrangeShake.jpg,
Anjeer Shake,ProductType,20,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"  anjeer (figs), cups milk,  sugar or   honey",https://drive.google.com/file/d/1vcwHowDMy32OxL-aDKL-b3__08lPI0uf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/AnjeerShake.jpg,
Vanilla Ice Cream,ProductType,21,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"Whipping cream cup,Sugar /cup,Vanilla extract  teaspoon,
Milk tablespoons",https://drive.google.com/file/d/1GK7aATh9TYsP7PtkB2LZZz2MFvvTnsBV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VanillaIceCream.jpg,
Chocolate Ice Cream,ProductType,22,"Inventory,Food,Cafe,Beverages,Vegeterian,",,,"Non Dairy Whipped Cream.  cups,Condensed Milk / cups,
Chocolate Essence / ,Melted Chocolatee /Chocolate Syrup - ",https://drive.google.com/file/d/1qR9msM6wEtvcjWBbzrZExguz6aeMfmaA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChocolateIceCream.jpg,
Desserts,ProductClass,1,"Inventory,Food,Cafe,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Desserts,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Desserts,",,,,,,
Black Forest Cake,ProductType,4,"Inventory,Food,Cafe,Desserts,Vegeterian,",,," cup Maida,/ cup cocoa powder,  drinking chocolate powder,
 baking powder, eggs,/th cup sugar, cup refined oil,
Whipped cream for decorating the cake  small bowl,
Chocolate shavings/curls for decoration of cake - tablespoon,
Karonda  pcs",https://drive.google.com/file/d/15N9JHdVnSCY2f8KJed5RvexDIY2P9gnV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/BlackForestCake.jpg,
Chocolate Cake,ProductType,5,"Inventory,Food,Cafe,Desserts,Vegeterian,",,," cup All Purpose Flour, Cup Milk,  Lemon Juice,
  Baking Soda, cup Condensed Milk,  Baking Powder,
  Vanilla Essence,Glaze:  cup Fresh cream,
  Coco powder",https://drive.google.com/file/d/1P-fGAhMPpymbH5aQyQiOPMot_7voWTXh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChocolateCake.png,
Mango Cake,ProductType,6,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,". cup flour, gram sugar, egg whites  egg white,
 egg yolks,/  salt,  baking powder,
/  cream of tarter,  vanilla essence,
/ cup oil,/ cup milk, cup whipped cream",https://drive.google.com/file/d/1jipJa87chOp0EUr-pqz4JJJ-8Alr8LD8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MangoCake.png,
Orange Cake,ProductType,7,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"Orange ( juice ),Whole wheat  cup,Baking powder  ,
egg ,Suger / cup,Oil / cup",https://drive.google.com/file/d/17Q0rK82lHkZ4p3Jth5XHCPaPkA761M3J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OrangeCake.png,
Strawberry Cake,ProductType,8,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"g All purpose flour, large egg whites room temperature,
/ cup   Strawberry puree, teaspoon Sprig Vanilla essence,
g unsalted butter at room temperature,/ teaspoon baking powder, teaspoon vinegar, teaspoon baking soda",https://drive.google.com/file/d/1A2LuZDWqZklmv_S9j4aPSRAjaCvE9cCT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/StrawberryCake.jpg,
Blueberry Cake,ProductType,9,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"/ cup butter,/ cup white sugar,/ teaspoon salt,
 teaspoon vanilla extract, / cups all-purpose flour,
/ cup milk, egg yolks, teaspoon baking powder,
 egg whites, / cups fresh blueberries",https://drive.google.com/file/d/1iWFxHszx5wd01eT-UglJhHFtZErLjxE0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BlueberryCake.png,
Butterscotch Cake,ProductType,10,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"Thick Curd – / cup,Baking Soda – / ,Vinegar –  ,
Maida –  and / cups,Sugar –  cup,Baking Powder –  ,
Melted Butter – / cup,Butterscotch Essense –  ,
Butterscotch Chips – / cup,Water – / cup,Oil – / cup",https://drive.google.com/file/d/1see13mk7iWgghlNhDk8IFvbcN6b7w45R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ButterscotchCake.png,
Pineapple Cake,ProductType,11,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"Eggs  nos,Refined Flour  bowls,Baking Powder  ,
Baking Soda  ,Sugar  bowls,Butter  bowls,
Pinepapple Essence - drop,Milk  cups,Pineapple Sliced Tin  nos",https://drive.google.com/file/d/144FQ8ONki6cCKbkH3TxO0w-lW0kAqudh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PineappleCake.jpg,
White Forest Cake,ProductType,12,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"Flour  cups,powder Sugar  cups,Butter  cups,Eggs  nos,
milkmaid / cups,Baking powder  ,vanilla essence  ,
milk / cups,For icing: White Chocolate Curls  cups,
Whipped Cream  ",https://drive.google.com/file/d/1AC8sY5HVs7-677riQNay5ZeWxyhGoPH_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/WhiteForestCake.jpg,
Pastries,ProductType,13,"Inventory,Food,Cafe,Desserts,Vegeterian,",40,,,https://drive.google.com/file/d/16r-rORxsrt3Aq0G31_WyH0GgPvRzM1I-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Pastries.jpg,
Brownie,ProductType,14,"Inventory,Food,Cafe,Desserts,Vegeterian,",80,,,https://drive.google.com/file/d/1EPcAxrmuJ_Bw0UWk8Ihg1YA5Q6H-9wbg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Brownie.jpg,
Sizzling Brownie,ProductType,15,"Inventory,Food,Cafe,Desserts,Vegeterian,",,,"Eggplant small, tops removed but with skin  nos,
Hershey's syrup  ,Honey  cups,Walnuts - nos,
Water  ,Cocoa Powder  cups,All Purpose Flour / cups,
Baking Powder  ,Salt / ,Oil for greasing  ,
Banana / nos,Fresh Amul Cream / bowls",https://drive.google.com/file/d/1K7PbfALMY5oz19lEMHK0koFnT01cFGqm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sizzling-Brownie.jpg,
