label,nodeType,order,path,price,link,imageLink,Swiggy ,Zomato,description
Mutton Fry Full,ProductUnit,19,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Mutton Fry,",200,https://drive.google.com/file/d/1CK5Y1_w51SSfsdZRLeiJUN2YegxuYlN2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/MuttonFryFull.jpg,200,,
Mutton Kharda,ProductType,20,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",250,https://drive.google.com/file/d/1tD-O7t0Q6DtQKnMO1VZLbLYHSi0Ntu9s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonKharda.jpg,,,
Mutton Kharda Full,ProductUnit,21,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Mutton Kharda,",250,https://drive.google.com/file/d/1uV3gW-WyQhn6i8fRLZ3ZLw3q_YljpdHQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/MuttonKhardaFull.jpg,,,
Mutton Kolhapuri,ProductType,22,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",200,https://drive.google.com/file/d/1RJcCHg8Q0w4v8uFNs-RxxWui8qSGS6eD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonKolhapuri.jpg,210,220,
Mutton Kolhapuri Full,ProductUnit,23,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Mutton Kolhapuri,",200,https://drive.google.com/file/d/1UD1JA1VNK2m3ERzwRbacdsDkEOtvlzQi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonKolhapuriFull.jpg,210,,
Mutton Adraki,ProductType,24,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",210,https://drive.google.com/file/d/1E30iaUuovBA7pm0aYcJDGJBxIGxffgrz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonAdraki.jpg,,220,
Mutton Adraki Full,ProductUnit,25,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Mutton Adraki,",210,https://drive.google.com/file/d/1JqN2_mpHzr908ByhcogqGOHxUlOd1sgO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/MuttonAdrakiFull.jpg,,220,
Mutton Rogan Josh,ProductType,26,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",220,https://drive.google.com/file/d/1TTGlZZnUJnG2KoIQxAvP17zHME2OTGV_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonRoganJosh.jpg,700,480,
Mutton Rogan Josh Full,ProductUnit,27,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Mutton Rogan Josh,",220,https://drive.google.com/file/d/1qBvV3MaIYDT_EnJWUjsqUSuZbAEQjWtB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonRoganJoshFull.jpg,700,480,
Egg Handi,ProductType,28,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",130,https://drive.google.com/file/d/1lE0QWKRX8HxhgPywcmTXJhoy5iIfOkb9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/EggHandi.jpg,,,
Egg Masala,ProductType,29,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",100,https://drive.google.com/file/d/1pN-FBsZbYnOvIyYtW9x5T4XRpHKz44UY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/EggMasala.jpg,120,,
Egg Malvani,ProductType,30,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",120,https://drive.google.com/file/d/15N2gr2t3NQ3RmzH19UWiVoAurGLprkLS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/EggMalvani.jpg,180,195,
Fish Masala,ProductType,31,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",,https://drive.google.com/file/d/1klW4glWamalxpjlmRSUwgrr_3UjWtJDD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishMasala.jpg,200,215,
Fish Malvani,ProductType,32,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",,https://drive.google.com/file/d/1rJo56MlW2lcsXiqa4jHBO45qAIZaNKlo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishMalvani.jpg,,,
Fish Koliwada,ProductType,33,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",, ,,,,
Fish Handi,ProductType,34,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",,https://drive.google.com/file/d/1rJo56MlW2lcsXiqa4jHBO45qAIZaNKlo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishHandi.jpg,300,,
Fish Curry,ProductType,35,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",,https://drive.google.com/file/d/1o3z6tzIWwAjT8Y7IZQCcCTBeeBcYqeM1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishCurry.jpg,200,,
Chicken Malvani,ProductType,36,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",350,https://drive.google.com/file/d/1c_wEaHcS41qszbSwBowC9ozlb6Lq7mL9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenMalvani.jpg,450,,
Chicken Malvani Full,ProductUnit,37,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Malvani,",350,https://drive.google.com/file/d/1-xY8AXA6TlxrEYMkDXt2EfcmDDflvA1G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMalvaniFull.jpg,450,,
Chicken Malvani Half,ProductUnit,38,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Malvani,",280,https://drive.google.com/file/d/1f5WFIy9OVi3d-VLZCetm6YwZO6fQjyQo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMalvaniHalf.jpg,320,,
Chicken Handi,ProductType,39,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",300,https://drive.google.com/file/d/1RMADFPBuSEsBClMMjRRF3Ywu4mtb54pt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg,390,300,
Chicken Handi Full,ProductUnit,40,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Handi,",300,https://drive.google.com/file/d/1LabfJ7U7HGWmo2mIPWym0Wm76D0yr7tH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiFull.jpg,390,300,
Chicken Handi Half,ProductUnit,41,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Handi,",250,https://drive.google.com/file/d/1XLzwK9SmXm48SjgSpen2LYnKWNg5f2Pv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiHalf.jpg,280,,
Chicken Maratha Handi,ProductType,42,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",280,https://drive.google.com/file/d/1WyFL7XHzbvxFgSvTKrjmyzjERATlucVu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/ChickenMarathaHandi.jpg,390,300,
Chicken Maratha Handi Full,ProductUnit,43,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Maratha Handi,",280,https://drive.google.com/file/d/1KvAc-2qxzc3t_p5vZoOvsoJKRF0dEMm_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMarathaHandiFull.jpg,390,300,
Chicken Maratha Handi Half,ProductUnit,44,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Maratha Handi,",220,https://drive.google.com/file/d/1fp1RYGfw5m8KozkelaV_8p30UyOv66hT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMarathaHandiHalf.jpg,280,,
Spl Shahi Chicken Handi,ProductType,45,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",350,https://drive.google.com/file/d/1Y2Mye8oE3J1L8eQHBBoXBUz4KtMrGnvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg,500,,
Spl Shahi Chicken Handi Full,ProductUnit,46,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Spl Shahi Chicken Handi,",350,https://drive.google.com/file/d/1Y2Mye8oE3J1L8eQHBBoXBUz4KtMrGnvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg,500,,
Spl Shahi Chicken Handi Half,ProductUnit,47,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Spl Shahi Chicken Handi,",280,https://drive.google.com/file/d/1Y2Mye8oE3J1L8eQHBBoXBUz4KtMrGnvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg,300,,
Chicken Fry,ProductType,48,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",140,https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg,,,
Chicken Fry Full,ProductUnit,49,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Fry,",140,https://drive.google.com/file/d/1bdqtgXgNlZqsQWGgPvebVN18A2PDy1Gm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFryFull.jpg,,,
Butter Chicken,ProductType,50,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",220,https://drive.google.com/file/d/13BFw9Vk7UW7grE4fxHCmBswFC3wSG4uf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChicken.jpg,650,325,
Butter Chicken Full,ProductUnit,51,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Butter Chicken,",220,https://drive.google.com/file/d/1jjRhY0zWfHHhwWvFSBQvkaAJnR9RkB2x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChickenFull.jpg,650,325,
Chicken Kolhapuri,ProductType,52,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",180,https://drive.google.com/file/d/1bWc_W7DKNzxS53IXTgHDSqj4gfK3f2wm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKolhapuri.gif,,,
Chicken Kolhapuri Full,ProductUnit,53,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Kolhapuri,",180,https://drive.google.com/file/d/1zK5NMRfcoBwECvfn1HJlA_XfDhJi-TZV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/ChickenKolhapuriFull.jpg,,,
Chicken Patiyala,ProductType,54,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",190,https://drive.google.com/file/d/1MJWPcODtP182HCYF1AmPjfwl8xHrXr4Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenPatiyala.jpg,220,,
Chicken Patiyala Full,ProductUnit,55,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Patiyala,",190,https://drive.google.com/file/d/1-17svigOyo9c9gnKr8HQQa5TqShzcB7o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/ChickenPatiyalaFull.jpg,220,,
Chicken Banjara Masala,ProductType,56,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",220,https://drive.google.com/file/d/1N4TjTfX30ljHECAPCVEGjQiYAt_3Fzrg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBanjaraMasala.jpg,220,235,
Chicken Banjara Masala Full,ProductUnit,57,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Banjara Masala,",220,https://drive.google.com/file/d/1qmELHsPh9yHvrWgceFCcau7OOHmYKyRc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/ChickenBanjaraMasalaFull.jpg,220,235,
Chicken Tikka Masala,ProductType,58,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",200,https://drive.google.com/file/d/19zFXY_pxa-UVhenZK8gwh6DxMFSuAhzf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTikkaMasala.jpg,200,215,
Chicken Tikka Masala Full,ProductUnit,59,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Tikka Masala,",200,https://drive.google.com/file/d/1nyD_cBHKhSU_FzXFphSWHIS5a7fka2b0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/ChickenTikkaMasalaFull.jpg,200,215,
Chicken Tandoori Masala,ProductType,60,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",250, ,,,,
Chicken Tandoori Masala Full,ProductUnit,61,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Tandoori Masala,",250,https://drive.google.com/file/d/17fCGQSYEoFGdkMhRAKjCwTEJtQf5seKg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenTandooriMasala.jpg,,,
Chicken Murg Musallam,ProductType,62,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",500,https://drive.google.com/file/d/1Rrj3hgIIgplkQ0Mpelm7_1dlUjXMqSqx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenMurgMusallam.jpg,750,,
Chicken Murg Musallam Full,ProductUnit,63,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Murg Musallam,",500,https://drive.google.com/file/d/1Rrj3hgIIgplkQ0Mpelm7_1dlUjXMqSqx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenMurgMusallam.jpg,750,,
Chicken Lasuni,ProductType,64,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,",160,https://drive.google.com/file/d/1l3SrGD-p2SdBEQCZHPTRZ3KkTD_GTtzl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenLasuni.jpg,190,,
Chicken Lasuni Full,ProductUnit,65,"Inventory,Food,Restaurant,Non-Vegeterian Entree,NonVegeterian,Chicken Lasuni,",160,https://drive.google.com/file/d/1l3SrGD-p2SdBEQCZHPTRZ3KkTD_GTtzl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenLasuni.jpg,190,,
Egg Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,https://drive.google.com/file/d/1QIFm56UM3FSl48MPmlJdBchMJuhyRkCs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/EggBiryani.jpg,140,150,
Dum Chicken Biryani,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",180,https://drive.google.com/file/d/117CoiKwIRuhr4g-wB9hdqZ0bNmyhadj6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/DumChickenBiryani.jpg,200,,
Dum Chicken Biryani Full,ProductUnit,6,"Inventory,Food,Restaurant,Rice,Vegeterian,Dum Chicken Biryani,",180,https://drive.google.com/file/d/1DMHkBdJRCIKfdoC8G8W9mzwt5cFAJ602/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumChickenBiryaniFull.jpg,200,,
Dum Chicken Biryani Half,ProductUnit,7,"Inventory,Food,Restaurant,Rice,Vegeterian,Dum Chicken Biryani,",120,https://drive.google.com/file/d/1eRsT1yCUfiV-Z1NbuzHcZMHS7a71exd_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumChickenBiryaniHalf.jpg,140,150,
Chicken Biryani,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg,140,,
Mutton Biryani,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",200,https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryani.jpg,220,240,
Chicken Chilli,ProductType,4,"Inventory,Food,Restaurant,Starters,NonVegeterian,",150,https://drive.google.com/file/d/1zccr03DUmOBDqoID5-I1IkcG9nR33fue/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenChilli.jpg,,,
Chicken 65,ProductType,5,"Inventory,Food,Restaurant,Starters,NonVegeterian,",170,https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,170,183,
Chicken Lollipop Fry,ProductType,6,"Inventory,Food,Restaurant,Starters,NonVegeterian,",150,https://drive.google.com/file/d/1smZXqIlzax2OnzZpWqLpCpyge6Ihqomk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/ChickenLollipopFry.jpg,,,
Chicken Lollipop Masala,ProductType,7,"Inventory,Food,Restaurant,Starters,NonVegeterian,",170,https://drive.google.com/file/d/1LZYdV9n-h6FuTt9QY6IOnJYvsgV9fr2M/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenLollipopMasala.jpg,,200,
Chicken Manchurian,ProductType,8,"Inventory,Food,Restaurant,Starters,NonVegeterian,",150,https://drive.google.com/file/d/1bda5swwEFGvjQlk_NAqTfTgkbaWFSX_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurian.jpg,160,,
Chicken Hot Pan,ProductType,9,"Inventory,Food,Restaurant,Starters,NonVegeterian,",280,,,280,300,
Chicken Bullet,ProductType,10,"Inventory,Food,Restaurant,Starters,NonVegeterian,",320,https://drive.google.com/file/d/1IT8IxHUrTZtv7o--1jVvzbPBjlveXwxs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ChickenBullet.jpg,320,340,
Chicken Crispy,ProductType,11,"Inventory,Food,Restaurant,Starters,NonVegeterian,",180,https://drive.google.com/file/d/1uR2GNv5IoIsrnFaGWRgpoGxp8X1aTUVY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCrispy.jpg,180,195,
Chicken Green Garlic Sauce,ProductType,12,"Inventory,Food,Restaurant,Starters,NonVegeterian,",160, ,,,,
