label,nodeType,order,path,price,link,imageLink,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,
Bhendi Roast,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",110,https://drive.google.com/file/d/1nxg5BJCy6EMtYnOY-9rOjyJrcNMhYdI0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhendiRoast.jpg,
Finger Chips,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,
Onion Pakoda,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg,
Chilli Pakoda,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,https://drive.google.com/file/d/1GJ_RmOPw-H1FwnqOZHcIOaUXxJwoELqO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliPakoda.jpg,
Paneer Pakoda,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg,
Gobi 100,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120, ,,
Gobi Fry,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,https://drive.google.com/file/d/1XcR_gsFCjC0N6IvJbkeEYDLtxxfOeHc_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiFry.jpg,
Gobi Roas,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,https://drive.google.com/file/d/1yCesVVytcbQll9F4l33foXjOrazRmwuY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiRoas.jpg,
Gobi 65,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,https://drive.google.com/file/d/1bDOLjyg_CzjwrGOijGJZJ1w-Aqy2eLKh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Gobi65.jpg,
Matki Suki Fry,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1OGUb7N-kSs6CojTcpnNFgfyp3N4YqtYm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiSukiFry.jpg,
Chana Fry,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,https://drive.google.com/file/d/1RFS1DNPZQpWE-68Jhzmt8L7N6myxbdTT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChanaFry.jpg,
Soyabin Roast,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100, ,,
Kaju Fry,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,https://drive.google.com/file/d/14pS6LbfIkpDZLor8faaidQRf0SZpFMf3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuFry.JPG,
Veg Manchurian,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,
Jeera Dal,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1EJ7aQXFCzNGyeOGe3YgKlynwaIM20zh1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraDal.jpg,
Dal Fry,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,
Dal Fry Tadka,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1xUs9_5MYgJssDXaWzfso5MG6QM9zhE6n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalFryTadka.jpg,
Dal Butter,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1if-pYMO_R8hzk8amB0gZwHWntzmHzG6p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalButter.jpg,
Dal Paneer,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/17qjkU0fTWB2g9blkQLX72gdrX8cNenwQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalPaneer.jpg,
Dal Kolhapuri,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg,
Dal Tamata,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1CtC9U0ej-m-d0Sa-33KZkczhkvZZMxev/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalTamata.jpg,
Dal Methi,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1nq9PyofwK5-hx9Dl-eJYxx9rubFxJeiX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMethi.jpg,
Dal Palak,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1g_Mioux3e6z1OOkqVDYIDisygH6as6td/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/dalpalak.jpg,
Baigan Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,
Baigan Bharta,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1KDfimDOmvKJT-0PplaK058AVtionrKCa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganBharta.jpg,
Baigan Tomato,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",90, ,,
Baigan Rassa,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1ct2eVACHSOVNOHjIQa6yByNbNQWg4wkb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganRassa.jpg,
Baigan Waradi,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1gWHEkdYoornYopk78nQ8Bjjjmh9XdGo1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganWaradi.jpeg,
Green Peas Masala,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1lFZ3npwGGcVr8CkPFRJngdVNnR0WOGZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasMasala.jpg,
Matki Masala,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1Rkde83_ZidHQIBT5A9z34-kzUFm4EJNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiMasala.jpg,
Bhendi Rassa,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1T1hZR2sfJ75HJ2kfMU2lowzrP_RkPcK_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhendiRassa.jpg,
Methi Masala,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1dErgRMsOVhFdohv1aCOlsQvMfilDWgAc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiMasala.jpeg.crdownload.jpg,
Methi Fry,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1ubiSkyXx6gJaU3nPeySsDnRLLxAuRaN4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MethiFry.jpg,
Veg Kofta,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1Mvg_zicUKWbqy17-QkdNaNjk6pwcqvxT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kofta.jpg,
Veg Palak,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/12PcprX4a-MpMzcPogQbrNC8O-XRzZ5zb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Palak.jpg,
Lasson Palak,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1I3pJhFe62eR3F1pLGhc3OaOPq30m7KGB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LassonPalak.jpg,
Palak Tamata,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1UyqZH3E62rmvnTC_rYagt94Gjpr1dDeA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakTamata.jpg,
Palak Aloo,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1ztxS0XQEL8dx_pTkx5g75JXKklFDdECk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakAloo.jpg,
Dahi Chutney,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/15rXPmbm6PS9TCMdN8Tfoc_JDnCqYUHYT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiChutney.jpg,
Shimla Rassa,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1H0J0ZsUYc0RDw845wauX6BaBllJPJyIj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shimla-Rassa.jpg,
Shimla Masala,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1lyUuf8rVuIb7bAL9fxFwkHjY7Q0a6TsF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shimla-Masala.jpg,
Soyabean Rassa,ProductType,31,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1fcONkO09nbkcalcroPcHu-5F16ZvpLh6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soyabean-Rassa.jpg,
Soyabean Fry,ProductType,32,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1yeQta5qvP54FwQW3ZecQX2CKGKMIr9w1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SoyabeanFry.jpg,
Mix Veg Rassa,ProductType,33,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1ExztGyt3JkOA1BUkxT9UPynR6co8SwCs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegRassa.jpg,
Mix Veg Dry,ProductType,34,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/11OO20CrKUDp8xb4ccv23DZwZp8b6hrdp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegDry.jpg,
Bhendi Fry,ProductType,35,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1JuaS9-HeNYDddzgv255-ILPSG56AoNGt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiFry.jpg,
Tomato Chutney,ProductType,36,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/12EgS7ysa0DovVts2meTT_dNJ034g0f3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Chutney.jpg,
Kanta Chutney,ProductType,37,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1pKj9IYpmCcLsvMKRMe_Id_mNVWkZfm5C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KantaChutney.jpg,
Gobi Tamato,ProductType,38,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1Bv7c1IJlxYKEd8MS_K1DyZQDCXEH63b9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiTamato.jpg,
Gobi Rassa,ProductType,39,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/19rnZ3nlMo9NLlgduEaiV2LVx3B7F2M3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiRassa.jpg,
Besan Tadka,ProductType,40,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,,
Besan Simple,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,,
Besan Veg,ProductType,42,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1-BoRj-Kc-wQQ7z0g94h0T22Vzx71haxh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BesanVeg.jpg,
Tava Besan,ProductType,43,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1MbSq56dDKdpsOzTy4oox3oHEGOtuULG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TavaBesan.jpg,
Shev Bhaji,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Chana Masala,ProductType,45,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Gobi Hyderabad,ProductType,46,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1v2ZWnboPk86MsTkikANtR08mBCt481NU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiHyderabad.jpg,
Maratha Baigan,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1kwvco1zNBC2KKgSEbe9GRUebso4l44HN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MarathaBaigan.jpg,
Malai Kofta,ProductType,48,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,
Kaju Curry,ProductType,49,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,
Malai Methi,ProductType,50,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1dhqUgiPWFB4Bozg5t3S1IfQlu37efKWn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiMethi.jpg,
Kaju Mutter,ProductType,51,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1ymElrIuLS4bjSiXj5HmiQhEOXxNVIwAu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuMutter.jpg,
Mushroom Masala,ProductType,52,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,
Mushroom Hyderabadi,ProductType,53,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/19mhx12GpBHDFmHR1vQo4BBTndenIWpy6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomHyderabadi.jpg,
Mushroom Maratha,ProductType,54,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1AqqHvioA8ACjaPdC3nLhyXkoiIkpGKii/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomMaratha.jpg,
Veg Maratha,ProductType,55,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/11npxFNMHAT_8ZUmXoQfJPlwBvEI85GCn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Maratha.jpg,
Veg Mutter Kurma,ProductType,56,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1MZpoUvfpnB_8gQ3y_X8MDfGLbCDCIaY3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Mutter-Kurma.jpg,
Methi Chaman,ProductType,57,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1YDL_ZWxBeDWuL-Qo-GHM29lHVx48VGrf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiChaman.jpg,
Paneer Butter Masala,ProductType,58,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,
Paneer Masala,ProductType,59,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,
Paneer Kaju,ProductType,60,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1_w8q_GBmBBzx1CbWdUNXgVE5SLKk_RdD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKaju.jpg,
Paneer Bhurji,ProductType,61,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,
Paneer Patiyala,ProductType,62,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1Qo49vPHnwNLKiiUxNnE9U3-FBF0_wAkj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPatiyala.jpg,
Paneer Tikka Masala,ProductType,63,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,
Shahi Paneer,ProductType,64,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/15ewjBYijJzsvJfnokYZXpXVvYnSXO8Qs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShahiPaneer.jpg,
Palak Paneer,ProductType,65,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,
Paneer Handi,ProductType,66,"Inventory,Food,Restaurant,Entree,Vegeterian,",280,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,
