label,nodeType,order,path,price,description,Link,imageLink
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,
Vada Pav,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,https://drive.google.com/file/d/1y8Uq1xvmcEsnDueHLu64-gdUDukGsU8X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaPav.jpg
Aloo Pakoda,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",25,,https://drive.google.com/file/d/1uWwVdDLBut5h078Fs6FNOy_Uq44xxECR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooPakoda.jpg
Misal Pav,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg
Vada Passa,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/17wAlXuKz-MWWjRkLHykwGPnDyf9QoHAU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VadaPassa.jpg
Plain Dosa,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/10plRQE3QzHB9B3sYn-Iln6caUOxUAyN-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainDosa.jpg
Masala Dosa,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
Idli Sambhar,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1x_0cTWlWQvJ87Lc-ut0NOo1ZzQT3Fk-d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambhar.jpg
Medu Vada Sambhar,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1hWcXG4ajWfJ-a6JKuN_mXIqbkFYsf5QF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/MeduVadaSambhar.jpg
Plain Uttapam,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1gbIrQNvM-HXwjLWYw195a1oh7UrDjPLp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PlainUttapam.jpg
Onion Uttapam,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1XYLjQ91jrBZDsVC890XhoHxvPwRpF9o2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionUttapam.jpg
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,
Hong Kong Chilli,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",150,,,
Paneer Chilli,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",180,,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg
Veg Lollipop,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/1VHcE9yqD695-4FM6IUQe6sBpspfxn5ns/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegLollipop.jpg
Paneer Crispy Chilli,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",180,,https://drive.google.com/file/d/16X9eGQ3mWRSAPUIndLu9CmtZ-18UeoZ_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/PaneerCrispyChilli.jpg
Veg Paneer Manchurian,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",180,,https://drive.google.com/file/d/13Hglw24hOA27QEDppM55njyGOOQu22G3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegPaneerManchurian.jpg
Veg Manchurian,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",140,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg
Veg Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/13d5-RS6K5zB_it7T2SUJig2uLnC9EIKd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VegEntree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Entree,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Entree,",,,,
Veg Kolhapuri,ProductType,4,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg
Chana Masala,ProductType,5,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg
Shev Bhaji,ProductType,6,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",80,,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg
Shev Tomato,ProductType,7,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",90,,https://drive.google.com/file/d/1-K6xBNE9gWDM_UHg-ysmZgXWH9A56Qcg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ShevTomato.jpg
Aloo Matar,ProductType,8,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1RPW48BzzhnUcWMeSLM0JLisb-P-VDNi9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMatar.jpg
Veg Mix,ProductType,9,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",140,,https://drive.google.com/file/d/1vUeMId37ICe5uC2UcPx1jqJWJVqsCpuK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegMix.jpg
Veg Hyderabadi,ProductType,10,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",140,,https://drive.google.com/file/d/1dtA8kP58QPcqCFQMBbu9s16z4jT8xux9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hyderabadi.jpg
Veg Lahori,ProductType,11,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1QYWcij49cb5u0WeHUkqWKiP1UiDZQdQf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegLahori.jpg
Veg Hangama,ProductType,12,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",240,,https://drive.google.com/file/d/1Y0s6kayYrcDYyKwxNwZYI57Yhis-pITv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegHangama.jpg
Lasuni Chana,ProductType,13,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",80,,https://drive.google.com/file/d/1SD4Ev52U4TqNsaYA-hA-tK5oU_FCgo7b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/LasuniChana.jpg
Chana Koliwada,ProductType,14,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",140,,https://drive.google.com/file/d/1B1U3CPB2fWL7cDivJAVH1FnQt_JZNbW8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/Chanakoliwada.jpg
Kaju Curry,ProductType,15,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",180,,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg
Kaju Masala,ProductType,16,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",220,,https://drive.google.com/file/d/1jk05_NhTywUDWFYjKrbLV45fLqWAkGm0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuMasala.jpg
Veg Handi,ProductType,17,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",350,,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg
Mushroom Masala,ProductType,18,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",180,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg
Veg Soup,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1yLlYEIedcl0jUYKgFBGLxxLSHqElVT62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soup,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soup,",,,,
Veg Mushroom Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",140,,https://drive.google.com/file/d/1O3s5RrWj7_XdPiVmxGpHODCr6HHK4LSD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegMushroomSoup.jpg
Veg Mushroom Soup Full,ProductUnit,5,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Mushroom Soup,",140,,https://drive.google.com/file/d/1vR375oXJLifADKDxHEe6N8o5InIJ5ILl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegMushroomSoupFull.jpg
Veg Mushroom Soup Half,ProductUnit,6,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Mushroom Soup,",90,,https://drive.google.com/file/d/1RWRwH9MzC3HgGpXelpYqguf5QMgHXQox/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegMushroomSoupHalf.jpg
Veg Sweet Corn Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",140,,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg
Veg Sweet Corn Soup Full,ProductUnit,8,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Sweet Corn Soup,",140,,https://drive.google.com/file/d/1a4cehvTzIWrTKsiyFcRwR73Xs1EFkQKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegSweetCornSoupFull.jpg
Veg Sweet Corn Soup Half,ProductUnit,9,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Sweet Corn Soup,",80,,https://drive.google.com/file/d/1ouO1gmUNjJ8mZl8fCvLuRP5O4rknI0rP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegSweetCornSoupHalf.jpg
Ginger Soup,ProductType,10,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",140,,https://drive.google.com/file/d/1AlFAoYwDRskrTk6c-OwtN7xHdL2Ys86G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/GingerSoup.jpg
Ginger Soup Full,ProductUnit,11,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Ginger Soup,",140,,https://drive.google.com/file/d/18OTvmP_FbWA9wBsVaWcWtMWD-_NAjGmv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/GingerSoupFull.jpg
Ginger Soup Half,ProductUnit,12,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Ginger Soup,",100,,https://drive.google.com/file/d/1ZC-wV4u7Wuivu5eW_sQ8gSQipzGuLQfU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/GingerSoupHalf.jpg
Veg Manchow Soup,ProductType,13,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",80,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Veg Manchow Soup Full,ProductUnit,14,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Manchow Soup,",80,,https://drive.google.com/file/d/14mHB8q99Q9eWGpuyi9RWd16OB2RixqcP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegManchowSoupFull.jpeg
Veg Manchow Soup Half,ProductUnit,15,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,Veg Manchow Soup,",40,,https://drive.google.com/file/d/19M1aaZyWemwfLVEilzAUbNJ5XukK9TsS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegManchowSoupHalf.jpeg
Dal,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1kIqV6ymtUXLw1Cju6QW4eoDTezD0RVJV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/Dal.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Dal,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Dal,",,,,
Dal Fry,ProductType,4,"Inventory,Food,Restaurant,Dal,Vegeterian,",60,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg
Dal Tadka,ProductType,5,"Inventory,Food,Restaurant,Dal,Vegeterian,",80,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg
Dal Makhani,ProductType,6,"Inventory,Food,Restaurant,Dal,Vegeterian,",120,,https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg
Paneer Special,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1USJMM5fzMFsvrTDn4StrcebuxS9hes02/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerSpecial.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Paneer Special,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Paneer Special,",,,,
Matar Paneer,ProductType,4,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",120,,https://drive.google.com/file/d/1_gYUesBF6YyPzI8vG1nbkF38qzcdeCwQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatarPaneer.jpg
Paneer Bhurji,ProductType,5,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",140,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg
Paneer Navratan Kurma,ProductType,6,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",150,,https://drive.google.com/file/d/19dyXd5XWYApBwjDwnQ91oxHiHiJkhjyQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/PaneerNavratanKurma.jpg
Paneer Patiyala,ProductType,7,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",160,,https://drive.google.com/file/d/1Qo49vPHnwNLKiiUxNnE9U3-FBF0_wAkj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPatiyala.jpg
Paneer Kadai,ProductType,8,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",180,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg
Paneer Butter Masala,ProductType,9,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",200,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg
Paneer Tikka Masala (Fry),ProductType,10,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",200,,https://drive.google.com/file/d/1FQFVOTif7s2lrbqfhknUcbDAbkbkm0tQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/PaneerTikkaMasalaFry.jpg
Palak Paneer,ProductType,11,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",120,,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg
Paneer Handi,ProductType,12,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,",600,,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg
Paneer Handi Full,ProductUnit,13,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,Paneer Handi,",600,,https://drive.google.com/file/d/1vQqbWeboGWkXGtN9IBJLxDqjMBpqlTxI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiFull.jpg
Paneer Handi Half,ProductUnit,14,"Inventory,Food,Restaurant,Paneer Special,Vegeterian,Paneer Handi,",350,,https://drive.google.com/file/d/1b5o6W19e_ZZHNCZMZm9hFifLbpEQwIhT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerHandiHalf.png
Veg Chinise,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/19yp3S9Ty_5n5gx1nsjoAfUx11pIXsYKl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/VegChinise.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Chinise,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Chinise,",,,,
Hakka Noodles,ProductType,4,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,",120,,https://drive.google.com/file/d/18FsWPwx8tncps1VikLC9UIbqDKRGPPyF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HakkaNoodles.jpg
Hakka Noodles Full,ProductUnit,5,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Hakka Noodles,",120,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/HakkaNoodlesFull.jpg
Hakka Noodles Half,ProductUnit,6,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Hakka Noodles,",70,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/HakkaNoodlesFull.jpg
Fried Rice,ProductType,7,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,",140,,https://drive.google.com/file/d/1DIwrqLBQA06tZTNutwX-gYSolgANQhBp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedRice.jpg
Fried Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Fried Rice,",140,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/FriedRiceFull.jpg
Fried Rice Half,ProductUnit,9,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Fried Rice,",80,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/FriedRiceFull.jpg
Schezwan Noodles,ProductType,10,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,",140,,https://drive.google.com/file/d/18mRtY1WH0owVL-322PHRxXJadtxCVAmA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodles.jpg
Schezwan Noodles Full,ProductUnit,11,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Schezwan Noodles,",140,,https://drive.google.com/file/d/1O3jwDkZEhmGLfhCt98SVHwIo_00YLQ89/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/SchezwanNoodlesFull.jpg
Schezwan Noodles Half,ProductUnit,12,"Inventory,Food,Restaurant,Veg Chinise,Vegeterian,Schezwan Noodles,",80,,https://drive.google.com/file/d/1vVYWOULlQObkJ1IjkWhYS0HuhE-2eVJ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/SchezwanNoodlesHalf.jpg
