label,nodeType,order,path,price,description,link,imageLink,Zomato 
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Regular Panipuri,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1tdHPLjcgOqeeF-R3uCAS8QY6Q1vE6Ye6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/RegularPanipuri.jpg,
Ragda Panipuri,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1qgZNT2-FxrBsBvMRn_CBZjFAHgIkP-FS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/RagdaPanipuri.jpg,
Suji Panipuri,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1MzJwxY-w9zCqCU10PieQI3SBCDfT3GuK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SujiPanipuri.jpg,
Flavour Panipuri,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1L2MIriHwmr2wfelRUZsQRZRksV6l16hi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/FlavourPanipuri.jpg,
Pizza Puri,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1k0oQIBFZNmOxF2i3c3F-YsXiF01e3Dky/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PizzaPuri.jpg,110
Papadi Pizza,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1cvQnlr0Y2Ge6e8Ci_4M3gVX7seJ7xPgN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PapadiPizza.jpg,
Dahi Puri,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1lICsRLznus2hMjTDGRAopXCiDvkawZP3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiPuri.jpg,50
Cheese Dahi Puri,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1r98u5f3STNttjydmZE8aJPt6kQYPXkFV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseDahiPuri.jpg,
Shev Puri,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1OnNtCPQSGUwT9Kh_E7a9mihV9xkiAX9k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevpuri.jpg,50
Cheese Shev Puri,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1ETdhKxW0Mhx9Yk6qHnJb5I-L2Hv0YsE1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseShevPuri.jpg,
Papadi Chat,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",35,,https://drive.google.com/file/d/1q178n81Qjee-kWicdBtKQZZJD_mGfG0O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/PapadiChat.jpg,60
Puri Bhel,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1ZG5ZLbQt2CvhLG7wm1SitiYrRnXNm5hA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PuriBhel.jpg,
Sukhi Bhel,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1tbAynTPLPpFi8kELSFzpmbgFCq6werL8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SukhiBhel.jpg,
Oli Bhel,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/17MrGZGpp30B7cBOY_a6cBwzj7HgI5qgW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/OliBhel.jpg,
Maggi Bhel,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1eZ4L82a4A58vTmcRYJAoF1kZOUPe9pHe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/MaggiBhel.jpg,50
Cheese Bhel,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1tbPkl3rqd5aDHo6J3_dvSg7COi8Pvucb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseBhel.jpg,
Chinese Bhel,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1GPi9hn0ZkUeegyxQKlKo7r_UcsvbSsw4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChineseBhel.jpg,50
Cheese Masala Puri,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1fgLjPmtWBjU8yN6FLaxsBdIAAy2na86D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseMasalaPuri.jpg,
Mouth Fresher,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",10,,,,
Unlimited Panipuri 1 Person,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",35,,https://drive.google.com/file/d/1wLRxQHe-j3BUMA5jNGResoK1xgO_0QCj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/UnlimitedPanipuri1Person.jpg,
Unlimited Shev Puri 1 Person,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/1vz_Y0mKSaAB-57H7EIgMURpwVro_Xbr8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/UnlimitedShevPuri1Person.jpg,
Unlimited Dahi Puri 1 Person,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/1_c84EH-7343GIcfN1KPVyaD4RK9to_ES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/UnlimitedDahiPuri1Person.jpg,
Flavour Panipuri,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,,https://drive.google.com/file/d/1L2MIriHwmr2wfelRUZsQRZRksV6l16hi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/FlavourPanipuri.jpg,
Panipuri Family Box,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,,https://drive.google.com/file/d/15KXkf3vjjec7-j3s6pDpCJQmxC5QB74G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PanipuriFamilyBox.jpeg,
Nutella Shot,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1v0oX9s4U36rrT50XtUub0rScum45c5Fb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/NutellaShot.jpg,
Paan Shot,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1skYNJovgm1rXR0diQz7zwKW-W-lww84p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaanShot.jpg,
Tikki,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1jxZQV3i3NkHvJN5g5uDDlGyRg3GsTKkW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/Tikki.jpg,
Ragda Chat,ProductType,31,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1UKnrxgAKPOYBeyqQDf-RRMFRcp41Uw4K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/RagdaChat.jpg,
Indori Puri,ProductType,32,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,,,
Chocolate Puri,ProductType,33,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/15kP7ymgzoxO_hVlXfAhfehy3Ur2Zspgb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/ChocolatePuri.jpg,
Cheese Garlic Papadi,ProductType,34,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,,,
Sanam Bewfa Puri,ProductType,35,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,,,
Black Current Panipuri,ProductType,36,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,,
Gava Panipuri,ProductType,37,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,,
Khattamitta Panipuri,ProductType,38,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1Zo0bB_0dYD2aX5qRMnHcCnd_ZHO_9Yvd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/KhattamittaPanipuri.jpg,
Adrak Panipuri,ProductType,39,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1K8ZnraNhFrhR3BMTNStOhnm8nzFoR3x-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/AdrakPanipuri.jpg,
Hing Panipuri,ProductType,40,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/19XsPE220sJXewHXbdhNnwfsjYOwA20cv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HingPanipuri.jpg,
Lasun Panipuri,ProductType,41,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1iFLoyEd9_ixaakuN4QeUT6D1MBHKRjWa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/LasunPanipuri.jpg,
Jeera Panipuri,ProductType,42,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1A1hg9UZdc6iUKR_CDP0AuF-8YZRddnFh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/JeeraPanipuri.jpg,
Hazma Hazm Panipuri,ProductType,43,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,https://drive.google.com/file/d/1qZuJGOqS73T_oydS3PhpBh0aeFlfofDY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HazmaHazmPanipuri.jpg,
Kaccha Mangto Panipuri,ProductType,44,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,,,,
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Idli Sambhar,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",10,,https://drive.google.com/file/d/1x_0cTWlWQvJ87Lc-ut0NOo1ZzQT3Fk-d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambhar.jpg,
Idli Sambhar Plate,ProductUnit,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,Idli Sambhar,",10,,https://drive.google.com/file/d/1joooh4YJpftAoUQOTO4IzWH0A3RB9yuY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/IdliSambharPlate.jpg,
Idli Sambhar Chutney,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",15,,https://drive.google.com/file/d/16WcGe0lmM2yqgRtQMlURqMIBtrAgkqwP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/IdliSambharChutney.jpg,
Idli 1 Pcs,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",5,,https://drive.google.com/file/d/1cto-yQb4zOTDlA5M95DcuFx52LyIyzRr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/Idli1Pcs.jpg,
