label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Upma,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",63,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,72,72
Lemon Sevai,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",63,,https://drive.google.com/file/d/1pQjGOkrg1wqBUTySAXT1-rSxIJfl2gva/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/LemonSevai.jpg,,
Sheera,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",66,,https://drive.google.com/file/d/1t3rhL9TIVK5bGfVTlUXlxsqMfVJ5oiwU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg,75,75
Sheera Upma,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",66,,https://drive.google.com/file/d/1dZRkAHmB7gVVEpchA8oJ69dLWEcuL65O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SheeraUpma.jpg,75,75
Misal Pav,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",81,,https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg,93,93
Puri Bhaji,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,99,99
Finger Chips,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,92,92
Sabudana Vada,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",84,,https://drive.google.com/file/d/1O6ziuAElEJ630iq-ZT8Wo5XdrYKapzLW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SabudanaVada.jpg,92,92
Kela Bhajiya,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",75,,https://drive.google.com/file/d/1Bvl2zVXp0UMS6s8aC2XJXtHM3HUyD4Sf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/KelaBhajiya.jpg,,
Pav Bhaji,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",154,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,162,162
Cheese Pav Bhaji,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",183,,https://drive.google.com/file/d/1gjL6a4ltx1oCxoC4q-OU3DlxU2GebEvl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg,189,189
Pav Butter,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",19,,https://drive.google.com/file/d/1_r1WXRoD_I5oyD1EADZYUgA_jpY9IFko/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PavButter.jpg,,
Pav,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",7,,https://drive.google.com/file/d/1c8R40rdT2aLvi6tw2ybKbt8FpFfSLyzf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food240522/Pav.jpg,7,
Extra Butter,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/1iMOJcj0bpEwy1BWOT_Cvq8_coXkJcxt4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraButter.jpg,,
Extra Cheese,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/10YVSQDdgja9L1Tbrn0rPPPuAZJbTUmcF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraCheese.jpg,,
Mulgapadi,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",27,,,,,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Mini Idli,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",84,,https://drive.google.com/file/d/1S10EtiezgG-c3YcHSWlU4b9Es7cqmohQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MiniIdli.jpg,92,92
Mini Idli Butter Podi,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",108,,https://drive.google.com/file/d/1_mMQ6jfukfHU_1kEQJqZhigbm-4N64X9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MiniIdliButterPodi.jpg,118,118
Idli Sambhar,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",72,,https://drive.google.com/file/d/1x_0cTWlWQvJ87Lc-ut0NOo1ZzQT3Fk-d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambhar.jpg,81,81
Butter Idli Podi,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",108,,,,118,118
Tatte Idli,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",57,,https://drive.google.com/file/d/1dZeBgAwbDiTHBW4kyH2_BT4h0KDSTGmo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TatteIdli.jpg,,
Tatte Idli Butter Podi,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",81,,https://drive.google.com/file/d/1_jut-JgQ0tCT5ttoRtlvpI-J5Z1uB9vQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TatteIdliButterPodi.jpg,,
Medu Wada,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",81,,https://drive.google.com/file/d/11YwNNABtd_9BxnNvjpc9p6xdV0kTksEX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MeduWada.jpg,90,90
Idli Wada Mix,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",81,,https://drive.google.com/file/d/1t4s3U6IcDqk9fmrmYxrvDQpOerLKPIAd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliWadaMix.jpg,90,90
Dahi Wada,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",92,,https://drive.google.com/file/d/1XSgQiyz7qgi77zcbrPshoQKVHbKIPO8z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DahiWada.jpg,,
Rasam Wada,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",81,,https://drive.google.com/file/d/1_LC4mNWR4cshduDj6IJxMrZJ-KlFkT6J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/RasamWada.jpg,90,90
Masala Medu Voda,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1hMOVQfFyPv98XuMo15jMlo-u89xbUgFo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MasalaMeduVoda.jpg,99,99
Dal Wada,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",72,,https://drive.google.com/file/d/1peAtmJIZH2AwD_YOO-VW9JZ6GjeRElzX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/DalWada.jpg,75,75
Uttappam,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/11ua8ESoe9xvDsSf2pY3VQvlwGcg8mOA8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/Uttappam.jpg,99,99
Onion Uttappam,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/16ciOD2vlIEysrjx8x0gHz-6yQzt8goYF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/OnionUttappam.jpg,118,118
Tomato Uttappam,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/1JL7YKOjRP1Bcy-ZGOtot-xpdlLJrlpQf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TomatoUttappam.jpg,118,118
Onion Tomato Uttappam,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/1V5TVUUec-aqqEkwNJHG0m8YJS2c2YdAT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/OnionTomatoUttappam.jpg,118,118
Chilly Tomato Uttappam,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",99,,https://drive.google.com/file/d/1gQWoFlzjlSOQ823YGp8KXT7fRexdwt1C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ChillyTomatoUttappam.jpeg,,
Masala Uttappam,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",117,,https://drive.google.com/file/d/16c12zKMRJTUyD7arL15MmIRxeyNMy1k-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MasalaUttappam.jpg,127,127
Butter Podi Uttappam,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",117,,https://drive.google.com/file/d/1wAlR9VhwDzeO1XE9zhQWguVt1TJvnMdy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ButterPodiUttappam.jpg,127,127
Cheese Chilly Uttappam,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",127,,https://drive.google.com/file/d/1O3awmdVK-TIpNP2hb9IS4UL7PCUnFt1g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseChillyUttappam.jpg,145,145
Sada Dosa,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",84,,https://drive.google.com/file/d/1BfV6qb8VSQOEdjF50P7dvolLiVExsGGj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SadaDosa.jpg,93,93
Masala Dosa,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",93,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,104,104
Mysore Sada Dosa,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",104,,https://drive.google.com/file/d/1kYa6E7Lofr9p2j_XIJN4pUfTUO3jNQrn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreSadaDosa.jpg,117,117
Mysore Masala Dosa,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",113,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,126,126
Andhra Dosa,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",104,,https://drive.google.com/file/d/1aIZcNp0ao5PJTCFm_d1pPrs724rrzX0i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/AndhraDosa.jpg,117,117
Andhra Masala Dosa,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",113,,https://drive.google.com/file/d/1lqRwsU9PLYqoXiFYBJiAQnB_XWxgJ6aS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/AndhraMasalaDosa.jpg,126,126
Neer Dosa,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",84,,https://drive.google.com/file/d/1UjHkz1sQ5hO_VlxqgX9d8SHUJ1SQLyfZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/NeerDosaVegOfTheDay.jpg,99,99
Neer Dosa Podi,ProductType,31,"Inventory,Food,Restaurant,Snacks,Vegeterian,",91,,,,108,108
Rava Sada Dosa,ProductType,32,"Inventory,Food,Restaurant,Snacks,Vegeterian,",95,,https://drive.google.com/file/d/1knIwlmCdklOTuyr2vS28__UhdpRHtjmn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/10222/ravasadadosa.jpg,104,104
Rava Masala Dosa,ProductType,33,"Inventory,Food,Restaurant,Snacks,Vegeterian,",108,,https://drive.google.com/file/d/17Bx26DlKVy4Z5pnsEYFfSDcLS1-wIqZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/RavaMasalaDosa.jpg,117,117
Rava Onion Sada Dosa,ProductType,34,"Inventory,Food,Restaurant,Snacks,Vegeterian,",108,,https://drive.google.com/file/d/1NvoOffH2pXP9No5OsstCXhV8ClU014RG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/RavaOnionSadaDosa.jpg,117,117
Rava Onion Masala Dosa,ProductType,35,"Inventory,Food,Restaurant,Snacks,Vegeterian,",117,,https://drive.google.com/file/d/1zpnyNlTVlu9OQ2h7zne3VhygcNGJmb-g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/RavaOnionMasalaDosa.jpg,127,127
Rava Mysore Sada Dosa,ProductType,36,"Inventory,Food,Restaurant,Snacks,Vegeterian,",117,,https://drive.google.com/file/d/1wQkbx-gglg-3JyrN5iqaucsutE_sCEUR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/RavaMysoreSadaDosa.jpg,127,127
Ravo Mysore Masala Dosa,ProductType,37,"Inventory,Food,Restaurant,Snacks,Vegeterian,",126,,,,136,136
Schezwan Sada Dosa,ProductType,38,"Inventory,Food,Restaurant,Snacks,Vegeterian,",108,,https://drive.google.com/file/d/1Y3KK4S3RRUwCo2YS7S9PYuiIY2vRbinx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanSadaDosa.jpg,118,118
Schezwan Masala Dosa,ProductType,39,"Inventory,Food,Restaurant,Snacks,Vegeterian,",122,,https://drive.google.com/file/d/10MoB-IDNGiRGbPAePPLWwfrLEGVa_i7L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/SchezwanMasalaDosa.jpg,127,127
Podi Set Dosa,ProductType,40,"Inventory,Food,Restaurant,Snacks,Vegeterian,",171,,https://drive.google.com/file/d/10pOYlFkgFfguLu96pZJRkXW06WjIJMAx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PodiSetDosa.cms,137,137
Paper Sada Dosa,ProductType,41,"Inventory,Food,Restaurant,Snacks,Vegeterian,",126,,https://drive.google.com/file/d/1NRCOfKHek1ZJ4DPr8geNJ5u1q_xhqFt4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaperSadaDosa.jpg,,
Paper Masala Dosa,ProductType,42,"Inventory,Food,Restaurant,Snacks,Vegeterian,",190,,https://drive.google.com/file/d/1NMkJ2wBDEnFxdDmUUpagj8A2ZA9tlTZE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paper-masala-dosa.jpg,,
