label,nodeType,order,path,price,link,imageLink,desciption
Paneer Tikka Masala,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,
Paneer Butter Masala,ProductType,42,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,
Paneer Kadhai,ProductType,43,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1v425-MjIQO41Ia8kdpAppuD9KKbVQJCt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadhai.jpg,
Paneer Lachedar,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1LEcgJGDYlykSB9xfpdjkvZPJHK5686WG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerLachedar.jpg,
Paneer Lababdar,ProductType,45,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1klQ6gkZcDP9VZtjnp8INcM4dPmLs2AJe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerLababdar.jpg,
Tawa Paneer,ProductType,46,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1UUClrr9KbgcuKHAjKzibbKDtUBhMyxK0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Paneer.jpg,
Palak Paneer,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,
Paneer Masala,ProductType,48,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,
Paneer Angara,ProductType,49,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1TWKrad110VxkZ1Kp11_hACH784etr3za/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerAngara.jpg,
Paneer Tufani,ProductType,50,"Inventory,Food,Restaurant,Entree,Vegeterian,",195,https://drive.google.com/file/d/1vJPH6gqLrlDTdjWGfUyMy5-JQCT92NW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTufani.jpg,
Kaju Curry,ProductType,51,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,
Kaju Masala,ProductType,52,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,https://drive.google.com/file/d/1jk05_NhTywUDWFYjKrbLV45fLqWAkGm0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuMasala.jpg,
Kaju Paneer Masala,ProductType,53,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1nHHvi8X6n_VqIiECNSaHu2LWBZQE8-ZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuPaneerMasala.jpg,
Paneer Baby Corn Masala,ProductType,54,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1w52OTmIdhNTlHiZoYQQ2byShkV_XotV6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBabyCornMasala.jpg,
Mutter Paneer,ProductType,55,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1huDNxCZ-qNC4fo-BTry7L1bsN4vjlnfl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MutterPaneer.jpg,
Paneer Koliwada,ProductType,56,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1DU9F3Kwl_rVt_uJfQ41cv6sWDHqtSBKo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKoliwada.jpg,
Paneer Bhurji,ProductType,57,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,
Paneer Bhurji With Gravy,ProductType,58,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,https://drive.google.com/file/d/10Ql32bqWc78o6sE9bXJpCROHwbDlNDd7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBhurjiWithGravy.jpg,
Paneer Mushroom With Masala,ProductType,59,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/14aQDaAiclync-dzWiclaXtct9pAoqm5e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMushroomWithMasala.jpg,
Paneer Tiranga,ProductType,60,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,https://drive.google.com/file/d/12M-xmxLRzIJi4nuvFstW-xE9JH7witNr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTiranga.jpg,
Paneer Makhmali,ProductType,61,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1fAitMrUsglufIupoPSjpELc7qpqzgHXs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/PaneerMakhmali.jpg,
Paneer Nawabi,ProductType,62,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1XvClXi6DL3-TCRSEvXd1bXxxJwt7C5ym/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerNawabi.jpg,
Paneer Mushroom Baby Corn Kadhai,ProductType,63,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/19eiQsxj5oUtX-j6j1NXVI-YMu0AzZkgW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMushroomBabyCornKadhai.jpg,
Baby Mushroom Tikka Masala,ProductType,64,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1CKJF1Ela_avDbg_qNomXkywj3v0c40aC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BabyMushroomTikkaMasala.jpg,
Paneer Anarkali,ProductType,65,"Inventory,Food,Restaurant,Entree,Vegeterian,",220,https://drive.google.com/file/d/1HDqQHcZjbJCdlr8YqpxxG_8zAspqylRj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerAnarkali.jpg,
Veg Handi,ProductType,66,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg,
Veg Kolhapuri,ProductType,67,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,
Mix Veg,ProductType,68,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,
Veg Patiala,ProductType,69,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1VTtrcTnQh7NK71uSZuTooNo3MmmCml9w/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPatiala.jpg,
Veg Mushroom Masala,ProductType,70,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1HovqdtJERlUu401STRqAffGcIZUf1o86/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Mushroom-Masala.jpg,
Chole Masala,ProductType,71,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/12Ag00XcG4DLD-qsniOgtcYQo1g4Q65Xg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CholeMasala.jpg,
Veg Koliwada,ProductType,72,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1xsG6r9w7UoXsscDt-cqWvylAmFxhBGPm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Koliwada.jpg,
Green Peas Masala,ProductType,73,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/1lFZ3npwGGcVr8CkPFRJngdVNnR0WOGZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasMasala.jpg,
Mushroom Masala,ProductType,74,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,
Gabi Masala,ProductType,75,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/14xmLD-LabtTmIwtS_EHen38NHBiMhC0O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GabiMasala.jpg,
Sev Bhaji,ProductType,76,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/11FdfisCizLwICaPK_JTJ6NTS0iXA8WSw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SevBhaji.jpg,
Veg Hyderabadi,ProductType,77,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/1dtA8kP58QPcqCFQMBbu9s16z4jT8xux9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hyderabadi.jpg,
Veg Gravy,ProductType,78,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/14k3LYQZH0x-5SoBQ5ts-98VtyWQDpkgv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Gravy.jpg,
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,
Gulab Jamun,ProductType,3,"Inventory,Food,Restaurant,Desserts,Vegeterian,",70,https://drive.google.com/file/d/1TbtnkGTLMpu0NDPKRVb7_KyhTDD652nr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GulabJamun.jpg,
Kashmiri Jamun,ProductType,4,"Inventory,Food,Restaurant,Desserts,Vegeterian,",130,https://drive.google.com/file/d/1hBpPHs5Db4B55GrlilCwK6w3PU-g7rEo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KashmiriJamun.jpg,
Rabadi,ProductType,5,"Inventory,Food,Restaurant,Desserts,Vegeterian,",70,https://drive.google.com/file/d/1OAlku9EG9NKsXxc1JbLDFpdIYjVe4CoF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rabadi.jpg,
Shahi Tukda,ProductType,6,"Inventory,Food,Restaurant,Desserts,Vegeterian,",130,https://drive.google.com/file/d/1xWFmtz48CGS5diVAJjqq_JqSwlu5UbFE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shahi-Tukda.jpg,
Salad,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salad,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salad,",,,,
Green Salad,ProductType,3,"Inventory,Food,Restaurant,Salad,Vegeterian,",50,https://drive.google.com/file/d/13f6xLUaMAgsL5WTIgZ5CBWFIUQK4FgBO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenSalad.jpg,
Kakdi Salad,ProductType,4,"Inventory,Food,Restaurant,Salad,Vegeterian,",30,https://drive.google.com/file/d/1dce2tydLdWNck77K7xzA4g3NE3q0UgVH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KakdiSalad.jpg,
Tomato Salad,ProductType,5,"Inventory,Food,Restaurant,Salad,Vegeterian,",30,https://drive.google.com/file/d/1EKvBO-AElsxN9Ct6Vj-N2-ciuqDW7_ro/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoSalad.jpg,
Kachumber Salad,ProductType,6,"Inventory,Food,Restaurant,Salad,Vegeterian,",50,https://drive.google.com/file/d/1hJVKI6M_bDneJZQMUWA4k3ObHHnYhyGc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KachumberSalad.jpg,
Raita,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Raita.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Raita,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Raita,",,,,
Bundi Raita,ProductType,3,"Inventory,Food,Restaurant,Raita,Vegeterian,",90,https://drive.google.com/file/d/13EQUJq7u2mEBp8jhUYRY0VqSk6mp_ipR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BundiRaita.jpg,
Veg Raita,ProductType,4,"Inventory,Food,Restaurant,Raita,Vegeterian,",90,https://drive.google.com/file/d/1BIK1VPgHYHoDIysqxLhCPx0TpizwNHj_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegRaita.jpg,
Dahi,ProductType,5,"Inventory,Food,Restaurant,Raita,Vegeterian,",30,https://drive.google.com/file/d/1cDaTlkyLkA1iMlI4hkZciLjKGnzykteF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Dahi.jpg,
Butter Milk,ProductType,6,"Inventory,Food,Restaurant,Raita,Vegeterian,",40,https://drive.google.com/file/d/1are1xYhfCVHfLjq7qgYAF6KOq6Zn4w07/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMilk.jpg,
Roast,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChillyCheeseroast.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roast,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roast,",,,,
Fry Papad,ProductType,3,"Inventory,Food,Restaurant,Roast,Vegeterian,",15,https://drive.google.com/file/d/1CXp-AUOHGYhoMisfi_jKPGpu_ezSeqan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FryPapad.jpg,
Roasted Papad,ProductType,4,"Inventory,Food,Restaurant,Roast,Vegeterian,",15,https://drive.google.com/file/d/1of1vgMY8AXJeDPdUGKu4-2fJb9nwbbQ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/RoastedPapad.jpg,
Masala Papad,ProductType,5,"Inventory,Food,Restaurant,Roast,Vegeterian,",25,https://drive.google.com/file/d/1ypAnHqCtC52zDbEKyPOq7b5i9Uwj2c_r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MasalaPapad.jpg,
